id,name,death_count
IR-32,Alborz,0
IR-15,Kerman,0
IR-13,Sistan and Baluchestan,0
IR-31,North Khorasan,0
IR-30,Razavi Khorasan,0
IR-29,South Khorasan,0
IR-16,Kordestan,0
IR-19,Gilan,0
IR-17,Kermanshah,0
IR-01,East Azarbaijan,0
IR-02,West Azarbaijan,0
IR-28,Qazvin,0
IR-11,Zanjan,0
IR-24,Hamadan,0
IR-26,Qom,0
IR-22,Markazi,0
IR-03,Ardebil,0
IR-23,Hormozgan,0
IR-05,Ilam,0
IR-20,Lorestan,0
IR-10,Khuzestan,0
IR-08,Chahar Mahall and Bakhtiari,0
IR-25,Yazd,0
IR-07,Tehran,0
IR-12,Semnan,0
IR-21,Mazandaran,0
IR-27,Golestan,0
IR-14,Fars,0
IR-04,Esfahan,0
IR-06,Bushehr,0
IR-18,Kohgiluyeh and Buyer Ahmad,0
